destination,risk_level,last_updated,details_url
Sao Tome and Principe,Take normal security precautions,2025-09-03T16:40:04,https://travel.gc.ca/destinations/sao-tome-and-principe
Saudi Arabia,Exercise a high degree of caution (with regional advisories),2025-09-03T16:40:04,https://travel.gc.ca/destinations/saudi-arabia
Senegal,Exercise a high degree of caution,2025-09-03T16:47:20,https://travel.gc.ca/destinations/senegal
Serbia,Take normal security precautions (with regional advisories),2025-09-03T16:40:04,https://travel.gc.ca/destinations/serbia
Seychelles,Take normal security precautions,2025-09-03T16:47:20,https://travel.gc.ca/destinations/seychelles
Sierra Leone,Exercise a high degree of caution,2025-09-03T16:47:20,https://travel.gc.ca/destinations/sierra-leone
Singapore,Take normal security precautions,2025-09-03T16:40:04,https://travel.gc.ca/destinations/singapore
Sint Maarten,Take normal security precautions,2025-09-10T11:46:07,https://travel.gc.ca/destinations/sint-maarten
Slovakia,Take normal security precautions,2025-09-09T16:27:55,https://travel.gc.ca/destinations/slovakia
Slovenia,Take normal security precautions,2025-09-09T16:27:55,https://travel.gc.ca/destinations/slovenia
Solomon Islands,Take normal security precautions,2025-09-03T16:47:20,https://travel.gc.ca/destinations/solomon-islands
Somalia,Avoid all travel,2025-09-03T16:40:04,https://travel.gc.ca/destinations/somalia
South Africa,Exercise a high degree of caution,2025-09-10T09:37:12,https://travel.gc.ca/destinations/south-africa
South Korea,Take normal security precautions,2025-09-11T14:07:07,https://travel.gc.ca/destinations/south-korea
South Sudan,Avoid all travel,2025-09-03T16:40:04,https://travel.gc.ca/destinations/south-sudan
Spain,Exercise a high degree of caution,2025-09-09T16:27:55,https://travel.gc.ca/destinations/spain
Sri Lanka,Exercise a high degree of caution,2025-09-03T16:47:20,https://travel.gc.ca/destinations/sri-lanka
Sudan,Avoid all travel,2025-09-03T16:42:09,https://travel.gc.ca/destinations/sudan
Suriname,Take normal security precautions,2025-09-03T16:42:09,https://travel.gc.ca/destinations/suriname
Sweden,Exercise a high degree of caution,2025-09-09T16:27:55,https://travel.gc.ca/destinations/sweden
Switzerland,Take normal security precautions,2025-09-09T13:37:33,https://travel.gc.ca/destinations/switzerland
Syria,Avoid all travel,2025-09-03T16:40:04,https://travel.gc.ca/destinations/syria
Taiwan,Take normal security precautions,2025-09-03T16:40:04,https://travel.gc.ca/destinations/taiwan
Tajikistan,Exercise a high degree of caution (with regional advisories),2025-09-03T16:40:04,https://travel.gc.ca/destinations/tajikistan
Tanzania,Exercise a high degree of caution (with regional advisories),2025-09-03T16:47:20,https://travel.gc.ca/destinations/tanzania
Thailand,Exercise a high degree of caution (with regional advisories),2025-09-03T16:47:20,https://travel.gc.ca/destinations/thailand
Timor-Leste (East Timor),Exercise a high degree of caution,2025-09-03T16:47:20,https://travel.gc.ca/destinations/timor-leste-east-timor
Togo,Exercise a high degree of caution (with regional advisories),2025-09-03T16:47:20,https://travel.gc.ca/destinations/togo
Tokelau,Take normal security precautions,2025-09-10T12:10:54,https://travel.gc.ca/destinations/tokelau
Tonga,Take normal security precautions,2025-09-03T16:47:20,https://travel.gc.ca/destinations/tonga
Trinidad and Tobago,Exercise a high degree of caution (with regional advisories),2025-09-03T16:47:20,https://travel.gc.ca/destinations/trinidad-and-tobago
Tunisia,Exercise a high degree of caution (with regional advisories),2025-09-03T16:40:04,https://travel.gc.ca/destinations/tunisia
Turkmenistan,Exercise a high degree of caution (with regional advisories),2025-09-03T16:40:04,https://travel.gc.ca/destinations/turkmenistan
Turks and Caicos Islands,Exercise a high degree of caution,2025-09-03T16:40:04,https://travel.gc.ca/destinations/turks-and-caicos-islands
Tuvalu,Take normal security precautions,2025-09-03T16:47:20,https://travel.gc.ca/destinations/tuvalu
Türkiye,Exercise a high degree of caution (with regional advisories),2025-09-04T17:33:32,https://travel.gc.ca/destinations/turkiye
Uganda,Exercise a high degree of caution (with regional advisories),2025-09-03T16:40:04,https://travel.gc.ca/destinations/uganda
Ukraine,Avoid all travel,2025-09-03T16:42:09,https://travel.gc.ca/destinations/ukraine
United Arab Emirates,Exercise a high degree of caution,2025-09-03T16:47:20,https://travel.gc.ca/destinations/united-arab-emirates
United Kingdom,Exercise a high degree of caution,2025-09-03T16:40:04,https://travel.gc.ca/destinations/united-kingdom
United States,Take normal security precautions,2025-08-28T10:20:07,https://travel.gc.ca/destinations/united-states
Uruguay,Take normal security precautions (with regional advisories),2025-09-03T16:47:20,https://travel.gc.ca/destinations/uruguay
Uzbekistan,Take normal security precautions (with regional advisories),2025-09-03T16:40:04,https://travel.gc.ca/destinations/uzbekistan
Vanuatu,Take normal security precautions,2025-09-03T16:47:20,https://travel.gc.ca/destinations/vanuatu
Venezuela,Avoid all travel,2025-09-03T16:42:09,https://travel.gc.ca/destinations/venezuela
Vietnam,Exercise a high degree of caution,2025-09-05T17:22:37,https://travel.gc.ca/destinations/vietnam
Virgin Islands (U.S.),Take normal security precautions,2025-09-03T16:47:20,https://travel.gc.ca/destinations/virgin-islands-u-s
Yemen,Avoid all travel,2025-09-03T16:40:04,https://travel.gc.ca/destinations/yemen
Zambia,Take normal security precautions (with regional advisories),2025-09-03T16:40:04,https://travel.gc.ca/destinations/zambia
Zimbabwe,Exercise a high degree of caution,2025-09-03T16:40:04,https://travel.gc.ca/destinations/zimbabwe
