destination,last_updated,details_url
Liberia,2024-01-26T12:26:56+00:00,https://www.gov.uk/foreign-travel-advice/liberia
Libya,2024-10-26T08:03:21+01:00,https://www.gov.uk/foreign-travel-advice/libya
Liechtenstein,2025-03-17T14:14:07+00:00,https://www.gov.uk/foreign-travel-advice/liechtenstein
Lithuania,2025-03-17T14:17:16+00:00,https://www.gov.uk/foreign-travel-advice/lithuania
Luxembourg,2025-03-17T14:22:25+00:00,https://www.gov.uk/foreign-travel-advice/luxembourg
Macao,2024-10-28T16:05:02+00:00,https://www.gov.uk/foreign-travel-advice/macao
Madagascar,2024-12-13T16:21:47+00:00,https://www.gov.uk/foreign-travel-advice/madagascar
Malawi,2024-12-14T17:57:52+00:00,https://www.gov.uk/foreign-travel-advice/malawi
Malaysia,2024-09-11T16:46:34+01:00,https://www.gov.uk/foreign-travel-advice/malaysia
Maldives,2024-11-20T11:34:47+00:00,https://www.gov.uk/foreign-travel-advice/maldives
Mali,2025-01-27T16:28:56+00:00,https://www.gov.uk/foreign-travel-advice/mali
Malta,2025-03-17T14:25:55+00:00,https://www.gov.uk/foreign-travel-advice/malta
Marshall Islands,2024-02-26T11:17:43+00:00,https://www.gov.uk/foreign-travel-advice/marshall-islands
Martinique,2024-10-11T18:11:38+01:00,https://www.gov.uk/foreign-travel-advice/martinique
Mauritania,2025-01-24T14:57:08+00:00,https://www.gov.uk/foreign-travel-advice/mauritania
Mauritius,2025-02-28T10:59:15+00:00,https://www.gov.uk/foreign-travel-advice/mauritius
Mayotte,2024-12-19T14:50:28+00:00,https://www.gov.uk/foreign-travel-advice/mayotte
Mexico,2025-03-24T15:30:51+00:00,https://www.gov.uk/foreign-travel-advice/mexico
Moldova,2024-12-31T14:14:04+00:00,https://www.gov.uk/foreign-travel-advice/moldova
Monaco,2024-05-29T15:31:45+01:00,https://www.gov.uk/foreign-travel-advice/monaco
Mongolia,2024-11-14T11:32:08+00:00,https://www.gov.uk/foreign-travel-advice/mongolia
Montenegro,2024-08-14T09:47:03+01:00,https://www.gov.uk/foreign-travel-advice/montenegro
Montserrat,2024-04-03T14:27:39+01:00,https://www.gov.uk/foreign-travel-advice/montserrat
Morocco,2024-10-26T08:04:53+01:00,https://www.gov.uk/foreign-travel-advice/morocco
Mozambique,2025-01-31T15:10:53+00:00,https://www.gov.uk/foreign-travel-advice/mozambique
Myanmar (Burma),2025-03-29T17:35:51+00:00,https://www.gov.uk/foreign-travel-advice/myanmar
Namibia,2025-03-05T10:30:37+00:00,https://www.gov.uk/foreign-travel-advice/namibia
Nauru,2024-04-22T10:54:01+01:00,https://www.gov.uk/foreign-travel-advice/nauru
Nepal,2024-10-04T11:25:05+01:00,https://www.gov.uk/foreign-travel-advice/nepal
Netherlands,2025-03-28T16:52:39+00:00,https://www.gov.uk/foreign-travel-advice/netherlands
New Caledonia,2024-09-26T18:56:42+01:00,https://www.gov.uk/foreign-travel-advice/new-caledonia
New Zealand,2025-01-02T11:46:47+00:00,https://www.gov.uk/foreign-travel-advice/new-zealand
Nicaragua,2025-01-09T15:56:50+00:00,https://www.gov.uk/foreign-travel-advice/nicaragua
Niger,2025-02-24T15:55:26+00:00,https://www.gov.uk/foreign-travel-advice/niger
Nigeria,2025-03-19T16:51:40+00:00,https://www.gov.uk/foreign-travel-advice/nigeria
North Korea,2024-09-20T15:13:42+01:00,https://www.gov.uk/foreign-travel-advice/north-korea
North Macedonia,2025-02-05T10:28:46+00:00,https://www.gov.uk/foreign-travel-advice/north-macedonia
Norway,2025-03-17T14:06:43+00:00,https://www.gov.uk/foreign-travel-advice/norway
Oman,2024-10-26T08:31:33+01:00,https://www.gov.uk/foreign-travel-advice/oman
Pakistan,2025-03-25T14:58:23+00:00,https://www.gov.uk/foreign-travel-advice/pakistan
Palau,2024-03-06T11:23:52+00:00,https://www.gov.uk/foreign-travel-advice/palau
The Occupied Palestinian Territories,2025-03-07T10:25:59+00:00,https://www.gov.uk/foreign-travel-advice/the-occupied-palestinian-territories
Panama,2025-02-10T15:18:51+00:00,https://www.gov.uk/foreign-travel-advice/panama
Papua New Guinea,2024-02-22T14:03:43+00:00,https://www.gov.uk/foreign-travel-advice/papua-new-guinea
Paraguay,2025-01-16T14:13:14+00:00,https://www.gov.uk/foreign-travel-advice/paraguay
Peru,2025-03-20T11:48:40+00:00,https://www.gov.uk/foreign-travel-advice/peru
Philippines,2024-12-02T15:02:55+00:00,https://www.gov.uk/foreign-travel-advice/philippines
Pitcairn Island,2025-03-27T16:14:53+00:00,https://www.gov.uk/foreign-travel-advice/pitcairn-island
Poland,2025-03-17T14:09:35+00:00,https://www.gov.uk/foreign-travel-advice/poland
