destination,risk_level,last_updated_advisory,advisory_details_url,risk_level_number,country_info_url,last_updated_country_details
New Zealand,Level 1: Exercise Normal Precautions,2025-01-03T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/new-zealand-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/NewZealand.html,2025-01-06T00:00:00
Nicaragua,Level 3: Reconsider Travel,2024-12-13T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/nicaragua-travel-advisory.html,3,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Nicaragua.html,2024-12-13T00:00:00
Niger,Level 3: Reconsider Travel,2025-03-21T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/niger-travel-advisory.html,3,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Niger.html,2024-01-08T00:00:00
Nigeria,Level 3: Reconsider Travel,2023-09-20T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/nigeria-travel-advisory.html,3,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Nigeria.html,2024-01-24T00:00:00
North Korea (Democratic People's Republic of Korea),Level 4: Do Not Travel,2025-04-29T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/north-korea-travel-advisory.html,4,,
North Macedonia,Level 1: Exercise Normal Precautions,2025-01-14T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/north-macedonia-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Macedonia.html,2025-01-15T00:00:00
Norway,Level 1: Exercise Normal Precautions,2025-02-03T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/norway-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Norway.html,2023-07-26T00:00:00
Oman,Level 2: Exercise Increased Caution,2024-11-04T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/oman-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Oman.html,2023-07-13T00:00:00
Pakistan,Level 3: Reconsider Travel,2025-03-07T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/pakistan-travel-advisory.html,3,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Pakistan.html,2025-01-21T00:00:00
Palau,Level 1: Exercise Normal Precautions,2024-08-06T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/palau-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Palau.html,2025-02-19T00:00:00
Panama,Level 2: Exercise Increased Caution,2024-09-23T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/panama-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Panama.html,2025-05-13T00:00:00
Papua New Guinea,Level 3: Reconsider Travel,2025-04-29T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/papua-new-guinea-travel-advisory.html,3,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/PapuaNewGuinea.html,2023-04-12T00:00:00
Paraguay,Level 1: Exercise Normal Precautions,2025-04-30T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/paraguay-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Paraguay.html,2019-02-21T00:00:00
